sample_id,sleepprotocol,hoursawake,circadianphase,ARNTL,NR1D1,PER3,ATF1,PUF60,EIF3M
GSM1526434,Sleep Extension,10.5,-9,33908.5,10697.5,6297.5,471.0,7024.5,29995.0
GSM1526435,Sleep Extension,13.5,-6,40807.0,13823.5,6072.5,368.5,10268.5,33892.6
GSM1526436,Sleep Extension,16.5,-3,29683.5,10760.0,6026.0,441.0,8144.5,35271.0
GSM1526437,Sleep Restriction,28.5,6,33986.0,12217.5,5797.5,393.0,8641.5,29263.5
GSM1526438,Sleep Extension,10.5,-9,30768.5,16237.5,6004.0,492.5,6432.0,20388.0
GSM1526439,Sleep Restriction,28.5,6,17089.5,15112.0,4168.0,346.0,3729.0,12067.0
GSM1526440,Sleep Extension,31.5,12,17356.5,16782.0,5354.5,376.0,5163.0,14116.0
GSM1526441,Sleep Restriction,31.5,9,19610.5,18225.0,5498.5,273.0,4976.5,14492.0
GSM1526442,Sleep Restriction,16.5,-6,23223.5,15081.5,5036.0,444.5,8806.5,24267.0
GSM1526443,Sleep Extension,28.5,9,27457.5,21754.0,5406.0,418.0,5609.0,17263.5
GSM1526444,Sleep Restriction,19.5,-3,23694.5,21532.0,6767.0,490.5,6428.5,18335.0
GSM968833,Sleep Extension,7.5,-12,8468.0,5497.5,3311.0,163.0,3137.0,6641.5
GSM968834,Sleep Extension,10.5,-9,13355.0,6597.5,3705.5,241.0,4698.0,10254.0
GSM968835,Sleep Extension,13.5,-6,13148.0,5809.0,3257.0,235.5,3423.0,9085.0
GSM968836,Sleep Extension,16.5,-3,9966.5,5321.0,3369.5,156.0,3389.5,8084.0
GSM968837,Sleep Extension,19.5,0,10358.5,5868.0,3520.5,183.0,3732.0,8516.0
GSM968838,Sleep Extension,22.5,3,8550.0,5772.0,3386.5,170.0,3043.5,6613.5
GSM968839,Sleep Extension,25.5,6,13617.0,5901.5,3584.5,262.5,4844.5,11172.5
GSM968840,Sleep Extension,28.5,9,10961.0,5574.0,3280.5,162.0,3030.5,4750.5
GSM968841,Sleep Extension,31.5,12,14391.5,6790.5,3546.5,190.5,4002.5,7258.5
GSM968842,Sleep Extension,34.5,15,9882.0,6029.0,3470.0,158.0,3016.0,6082.0
GSM968843,Sleep Restriction,7.5,-12,13575.5,5769.0,3501.0,220.0,4970.0,10032.0
GSM968844,Sleep Restriction,10.5,-9,6856.0,5021.0,3215.0,156.5,2621.0,3389.0
