GSM1320990 	Adr_CT18
GSM1320991 	Adr_CT20
GSM1320992 	Adr_CT22
GSM1320993 	Adr_CT24
GSM1320994 	Adr_CT26
GSM1320995 	Adr_CT28
GSM1320996 	Adr_CT30
GSM1320997 	Adr_CT32
GSM1320998 	Adr_CT34
GSM1320999 	Adr_CT36
GSM1321000 	Adr_CT38
GSM1321001 	Adr_CT40
GSM1321002 	Adr_CT42
GSM1321003 	Adr_CT44
GSM1321004 	Adr_CT46
GSM1321005 	Adr_CT48
GSM1321006 	Adr_CT50
GSM1321007 	Adr_CT52
GSM1321008 	Adr_CT54
GSM1321009 	Adr_CT56
GSM1321010 	Adr_CT58
GSM1321011 	Adr_CT60
GSM1321012 	Adr_CT62
GSM1321013 	Adr_CT64
GSM1321014 	Aor_CT18
GSM1321015 	Aor_CT20
GSM1321016 	Aor_CT22
GSM1321017 	Aor_CT24
GSM1321018 	Aor_CT26
GSM1321019 	Aor_CT28
GSM1321020 	Aor_CT30
GSM1321021 	Aor_CT32
GSM1321022 	Aor_CT34
GSM1321023 	Aor_CT36
GSM1321024 	Aor_CT38
GSM1321025 	Aor_CT40
GSM1321026 	Aor_CT42
GSM1321027 	Aor_CT44
GSM1321028 	Aor_CT46
GSM1321029 	Aor_CT48
GSM1321030 	Aor_CT50
GSM1321031 	Aor_CT52
GSM1321032 	Aor_CT54
GSM1321033 	Aor_CT56
GSM1321034 	Aor_CT58
GSM1321035 	Aor_CT60
GSM1321036 	Aor_CT62
GSM1321037 	Aor_CT64
GSM1321038 	Bstm_CT18
GSM1321039 	Bstm_CT20
GSM1321040 	Bstm_CT22
GSM1321041 	Bstm_CT24
GSM1321042 	Bstm_CT26
GSM1321043 	Bstm_CT28
GSM1321044 	Bstm_CT30
GSM1321045 	Bstm_CT32
GSM1321046 	Bstm_CT34
GSM1321047 	Bstm_CT36
GSM1321048 	Bstm_CT38
GSM1321049 	Bstm_CT40
GSM1321050 	Bstm_CT42
GSM1321051 	Bstm_CT44
GSM1321052 	Bstm_CT46
GSM1321053 	Bstm_CT48
GSM1321054 	Bstm_CT50
GSM1321055 	Bstm_CT52
GSM1321056 	Bstm_CT54
GSM1321057 	Bstm_CT56
GSM1321058 	Bstm_CT58
GSM1321059 	Bstm_CT60
GSM1321060 	Bstm_CT62
GSM1321061 	Bstm_CT64
GSM1321062 	BFat_CT18
GSM1321063 	BFat_CT20
GSM1321064 	BFat_CT22
GSM1321065 	BFat_CT24
GSM1321066 	BFat_CT26
GSM1321067 	BFat_CT28
GSM1321068 	BFat_CT30
GSM1321069 	BFat_CT32
GSM1321070 	BFat_CT34
GSM1321071 	BFat_CT36
GSM1321072 	BFat_CT38
GSM1321073 	BFat_CT40
GSM1321074 	BFat_CT42
GSM1321075 	BFat_CT44
GSM1321076 	BFat_CT46
GSM1321077 	BFat_CT48
GSM1321078 	BFat_CT50
GSM1321079 	BFat_CT52
GSM1321080 	BFat_CT54
GSM1321081 	BFat_CT56
GSM1321082 	BFat_CT58
GSM1321083 	BFat_CT60
GSM1321084 	BFat_CT62
GSM1321085 	BFat_CT64
GSM1321086 	Cer_CT18
GSM1321087 	Cer_CT20
GSM1321088 	Cer_CT22
GSM1321089 	Cer_CT24
GSM1321090 	Cer_CT26
GSM1321091 	Cer_CT28
GSM1321092 	Cer_CT30
GSM1321093 	Cer_CT32
GSM1321094 	Cer_CT34
GSM1321095 	Cer_CT36
GSM1321096 	Cer_CT38
GSM1321097 	Cer_CT40
GSM1321098 	Cer_CT42
GSM1321099 	Cer_CT44
GSM1321100 	Cer_CT46
GSM1321101 	Cer_CT48
GSM1321102 	Cer_CT50
GSM1321103 	Cer_CT52
GSM1321104 	Cer_CT54
GSM1321105 	Cer_CT56
GSM1321106 	Cer_CT58
GSM1321107 	Cer_CT60
GSM1321108 	Cer_CT62
GSM1321109 	Cer_CT64
GSM1321110 	Hrt_CT18
GSM1321111 	Hrt_CT20
GSM1321112 	Hrt_CT22
GSM1321113 	Hrt_CT24
GSM1321114 	Hrt_CT26
GSM1321115 	Hrt_CT28
GSM1321116 	Hrt_CT30
GSM1321117 	Hrt_CT32
GSM1321118 	Hrt_CT34
GSM1321119 	Hrt_CT36
GSM1321120 	Hrt_CT38
GSM1321121 	Hrt_CT40
GSM1321122 	Hrt_CT42
GSM1321123 	Hrt_CT44
GSM1321124 	Hrt_CT46
GSM1321125 	Hrt_CT48
GSM1321126 	Hrt_CT50
GSM1321127 	Hrt_CT52
GSM1321128 	Hrt_CT54
GSM1321129 	Hrt_CT56
GSM1321130 	Hrt_CT58
GSM1321131 	Hrt_CT60
GSM1321132 	Hrt_CT62
GSM1321133 	Hrt_CT64
GSM1321134 	Hyp_CT18
GSM1321135 	Hyp_CT20
GSM1321136 	Hyp_CT22
GSM1321137 	Hyp_CT24
GSM1321138 	Hyp_CT26
GSM1321139 	Hyp_CT28
GSM1321140 	Hyp_CT30
GSM1321141 	Hyp_CT32
GSM1321142 	Hyp_CT34
GSM1321143 	Hyp_CT36
GSM1321144 	Hyp_CT38
GSM1321145 	Hyp_CT40
GSM1321146 	Hyp_CT42
GSM1321147 	Hyp_CT44
GSM1321148 	Hyp_CT46
GSM1321149 	Hyp_CT48
GSM1321150 	Hyp_CT50
GSM1321151 	Hyp_CT52
GSM1321152 	Hyp_CT54
GSM1321153 	Hyp_CT56
GSM1321154 	Hyp_CT58
GSM1321155 	Hyp_CT60
GSM1321156 	Hyp_CT62
GSM1321157 	Hyp_CT64
GSM1321158 	Kid_CT18
GSM1321159 	Kid_CT20
GSM1321160 	Kid_CT22
GSM1321161 	Kid_CT24
GSM1321162 	Kid_CT26
GSM1321163 	Kid_CT28
GSM1321164 	Kid_CT30
GSM1321165 	Kid_CT32
GSM1321166 	Kid_CT34
GSM1321167 	Kid_CT36
GSM1321168 	Kid_CT38
GSM1321169 	Kid_CT40
GSM1321170 	Kid_CT42
GSM1321171 	Kid_CT44
GSM1321172 	Kid_CT46
GSM1321173 	Kid_CT48
GSM1321174 	Kid_CT50
GSM1321175 	Kid_CT52
GSM1321176 	Kid_CT54
GSM1321177 	Kid_CT56
GSM1321178 	Kid_CT58
GSM1321179 	Kid_CT60
GSM1321180 	Kid_CT62
GSM1321181 	Kid_CT64
GSM1321182 	Liv_CT18
GSM1321183 	Liv_CT20
GSM1321184 	Liv_CT22
GSM1321185 	Liv_CT24
GSM1321186 	Liv_CT26
GSM1321187 	Liv_CT28
GSM1321188 	Liv_CT30
GSM1321189 	Liv_CT32
GSM1321190 	Liv_CT34
GSM1321191 	Liv_CT36
GSM1321192 	Liv_CT38
